"Citation","Year","Number","Title","Resource type","URL"
"IPCC","2022","2","Regional fact sheet – Central and South America. Sixth Assessment Report.","Fact Sheet","https://www.ipcc.ch/report/ar6/wg1/downloads/factsheets/IPCC_AR6_WGI_Regional_Fact_Sheet_Central_and_South_America.pdf"
"IPCC","2022","3","Fact Sheet -Central and South America. Climate change impacts and risks","Fact Sheet","https://report.ipcc.ch/ar6wg2/pdf/IPCC_AR6_WGII_FactSheet_CentralSouthAmerica.pdf"
"IPCC","2022","4","Fact Sheet - Central and South America: Climate Change Impacts and Risks","Fact Sheet","https://www.ipcc.ch/report/ar6/wg2/downloads/outreach/IPCC_AR6_WGII_FactSheet_CentralSouthAmerica.pdf"
"IPCC","2022","5","Regional fact sheet: Africa. Sixth Assessment Report.","Fact Sheet","https://www.ipcc.ch/report/ar6/wg1/downloads/factsheets/IPCC_AR6_WGI_Regional_Fact_Sheet_Africa.pdf"
"IPCC","2022","7","Fact Sheet -Africa: Climate Change Impacts and Risks","Fact Sheet","https://report.ipcc.ch/ar6wg2/pdf/IPCC_AR6_WGII_FactSheet_Africa.pdf"
"IPCC","2022","8","What’s in it for Africa?","Report","https://cdkn.org/sites/default/files/files/AR5_IPCC_Whats_in_it_for_Africa.pdf"
"IPCCC","2022","1","Climate Change Impacts and Risks","Fact Sheet","https://www.ipcc.ch/report/ar6/wg2/downloads/outreach/IPCC_AR6_WGII_FactSheet_Africa.pdf"
"Iris and Hazel","2017","1","Impacts of Climate Change on Fisheries in the Coastal and Marine Environments of Caribbean Small Island Developing States (SIDS)","Caribbean Marine climate change report card: science review","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/605077/10._Fisheries_combined.pdf"
"IRRI","2021","1","Poor seed quality","Fact Sheet","http://www.knowledgebank.irri.org/decision-tools/rice-doctor/rice-doctor-fact-sheets/item/poor-seed-quality"
"Isaacs","2014","1","CONFLICT PREVENTION :What does UNDP do for Conflict Prevention in Latin America and the Caribbean?","UNDP Report","https://www1.undp.org/content/dam/rblac/docs/Research%20and%20Publications/Crisis%20Prevention%20and%20Recovery/Brochure_Conflicts_english.pdf"
"Jabara et al.","2009","1","Sub-Saharan Africa: Effects of Infrastructure Conditions on Export Competitiveness, Third Annual Report.","Book","https://www.usitc.gov/publications/332/pub4071.pdf"
"Jackson et al.","2017","1","Building Capacity for Climate Change Mitigation and Adaptation Through Mainstreaming Climate Change in Curricula of Tertiary Training Institutions in Africa.","Journal","https://www.researchgate.net/publication/317414500_Building_Capacity_for_Climate_Change_Mitigation_and_Adaptation_Through_Mainstreaming_Climate_Change_in_Curricula_of_Tertiary_Training_Institutions_in_Africa"
"Jackson et al.","2021","1","Crop-specific exposure to extreme temperature and moisture for the globe for the last half century","Journal","https://iopscience.iop.org/article/10.1088/1748-9326/abf8e0"
"Jarvis et al.","2021","1","Climate-informed priorities for One CGIAR Regional Integrated Initiatives","CGIAR Report","Climate-informed priorities for One CGIAR Regional Integrated Initiatives"
"JAYNE et al.","2021","1","Agricultural Productivity Growth, Resilience, and Economic Transformation in Sub-Saharan Africa IMPLICATIONS FOR USAID","Report","https://www.usaid.gov/sites/default/files/documents/BIFAD_Agricultural_Productivity_Growth_Resilience_and_Economic_Transformation_in_SSA_Final_Report_4.20.21_2_2.pdf"
"JICA","2018","1","Japan International Cooperation Agency - Annual Report","Report","https://www.jica.go.jp/english/publications/reports/annual/2018/index.html"
"Joan","2021","1","How Widespread Deforestation In Africa Risks Our Climate Future","Report","https://www.greenpeace.org/africa/en/blogs/49073/how-widespread-deforestation-in-africa-risks-our-climate-future/"
"Jobbins and Henley","2015","1","Food in an uncertain future: the impacts of climate change on food security and nutrition in the Middle East and North Africa.","Report","https://www.preventionweb.net/files/46974_46974odiwfpimpactofcconfnsinmena201.pdf"
"John and Fielding","2014","1","Rice production constraints and ‘new’ challenges for South Asian smallholders: insights into de facto research priorities","Journal article","https://agricultureandfoodsecurity.biomedcentral.com/articles/10.1186/2048-7010-3-18"
"Jordan and Speelman","2020","1","On-farm adoption of irrigation technologies in two irrigated valleys in Central Chile: The effect of relative abundance of water resources","Journal article","https://www.sciencedirect.com/science/article/abs/pii/S0378377419320244
"
"Jorisch et al.","2018","1","TECHNOLOGY for CLIMATE ACTION in LATIN AMERICA and THE CARIBBEAN: How ICT and Mobile Solutions Contribute toa Sustainable,Low-Carbon Future","IDB document","https://www.gsma.com/latinamerica/wp-content/uploads/2018/06/Technology-for-Climate-Action-in-Latin-America-and-the-Caribbean.pdf"
"Juswanto and Zulfiqar","2016","1","Economic Growth and Sustainable Development in the Pacific Island Countries.","ADB Policy Brief","https://www.adb.org/publications/economic-growth-and-sustainable-development-pacific-island-countries"
"Kabede et al.","2021","1","How do agro-pastoralists cope with climate change? The case of the Nyangatom in the Lower Omo Valley of Ethiopia","Journal article","https://doi.org/10.1016/j.jaridenv.2021.104485"
"Kabo-bah et al.","2020","1","Sendai Framework Implementation – A Regional Assessment of Wildfires in West Africa","Report","https://www.preventionweb.net/files/65783_f204amoskabobahsendaiframeworkimple.pdf"
"Kandeel","2019","1","Freshwater Resources in the MENA Region: Risks and Opportunities","Article","https://www.mei.edu/publications/freshwater-resources-mena-region-risks-and-opportunities"
"Kandel and Endres","2019","1","Dry bean production guide","Report","https://www.ag.ndsu.edu/publications/crops/dry-bean-production-guide"
"Kandji et al.","2006","1","Climate change and variability in the Sahel region: impacts and adaptation strategies in the agricultural sector","Report","http://apps.worldagroforestry.org/downloads/Publications/PDFS/B14549.pdf"
"Kang et al.","2021","1","Future rice farming threatened by drought in the Lower Mekong Basin","Journal article","https://rdcu.be/cWZ40"
"Karuri et al.","2021","1","Adaptation of Small-Scale Tea and Coffee Farmers in Kenya to Climate Change","Book Chapter","https://link.springer.com/chapter/10.1007/978-3-030-45106-6_70"
"Kaspersen and Foyn","2010","1","Price Transmission for Agricultural Commodities in Uganda: An Empirical Vector Autoregressive Analysis","IFPRI working paper","https://www.researchgate.net/publication/254384650_Price_Transmission_to_Ugandan_Coffee_Growers_in_a_Liberalized_Market/citations"
"Katwal and Bazile","2020","1","First adaptation of quinoa in the Bhutanese mountain agriculture systems.","Journal","https://doi.org/10.1371/journal.pone.0219804"
"Kemboi et al.","2020","1","Crop diversification analysis amongst smallholder farmers in Kenya(empirical evidence from Kamariny ward, Elgeyo Marakwet County)","Journal article","https://www.tandfonline.com/doi/full/10.1080/23311932.2020.1834669"
"Khan et al.","2014","1","Achieving food security for one million sub-Saharan African poor through push–pull innovation by 2020","Journal","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3928888/"
"Kiaya","2014","1","Post-Harvest Losses and Strategies To Reduce Them","Technical Paper","https://www.actioncontrelafaim.org/wp-content/uploads/2018/01/technical_paper_phl__.pdf"
"Kibria and Haroon","2017","1","Climate Change Impacts on Wetlands of Bangladesh, its Biodiversity and Ecology, and Actions and Programs to Reduce Risks.","Journal article","https://www.researchgate.net/publication/316315104_Climate_Change_Impacts_on_Wetlands_of_Bangladesh_its_Biodiversity_and_Ecology_and_Actions_and_Programs_to_Reduce_Risks"
"Kingsley","2017","1","Commodity prices crash hits Africa","Report","https://www.un.org/africarenewal/magazine/december-2016-march-2017/commodity-prices-crash-hits-africa"
"Kirby","2022","1","Innovation, pastoralism and climate change in Africa’s drylands","Web article","https://climatechangenews.com/2022/01/31/innovation-pastoralism-climate-change-africas-drylands/"
"KIT","2018","1","RURAL DEVELOPMENT IN SUB-SAHARAN AFRICA","Report","https://www.kit.nl/wp-content/uploads/2018/08/907_Bull370-web.pdf"
"Knox et al.","2012","1","Climate change impacts on crop productivity in Africa and South Asia","Journal article","https://iopscience.iop.org/article/10.1088/1748-9326/7/3/034032/pdf"
"Kombat et al.","2021","1","A Review of Climate-Smart Agriculture Technology Adoption
by Farming Households in Sub-Saharan Africa.","Journal article","https://www.mdpi.com/2071-1050/13/21/12130/pdf?version=1636422669"
"Korres et al.","2017","1","Climate change effects on rice, weeds and weed management in the Asian-Pacific region","Book","https://www.researchgate.net/publication/320427368_Climate_Change_Effects_on_Rice_Weeds_And_Weed_Management_In_Asian-Pacific_Region"
"Kotera et al.","2008","1","Regional Consequences of Seawater Intrusion on Rice Productivity and Land Use in Coastal Area of the Mekong River Delta","Journal article","https://www.researchgate.net/publication/234054189_Regional_Consequences_of_Seawater_Intrusion_on_Rice_Productivity_and_Land_Use_in_Coastal_Area_of_the_Mekong_River_Delta"
"Krishna et al.","2022","1","Conservation Agriculture Benefits Indian Farmers, but Technology Targeting Needed for Greater Impacts","Journal article","https://www.frontiersin.org/articles/10.3389/fagro.2022.772732/full"
"Kumar et al.","2012","1","The impact of climate change on Yam (Dioscorea alata) yield in the savanna zone of West Africa","Journal article","https://doi.org/10.1016/j.agee.2012.03.004"
"Kumar et al.","2012","2","South Asian Agroforestry: Traditions, Transformations, and Prospects","Journal","https://www.researchgate.net/publication/257364424_South_Asian_Agroforestry_Traditions_Transformations_and_Prospects"
"Kumar et al.","2017","1","Reducing Postharvest Losses during Storage of Grain Crops to Strengthen Food Security in Developing Countries","Journal article","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5296677/"
"Kumar et al.","2021","1","Challenges and opportunities in productivity and sustainability of rice cultivation system: a critical review in Indian perspective","Journal article","https://link.springer.com/article/10.1007/s42976-021-00214-5"
"Kuteyi and Winkler","2022","1","Logistics Challenges in Sub-Saharan Africa and Opportunities for Digitalization","Journal article","https://www.mdpi.com/2071-1050/14/4/2399/pdf-vor"
"Kuyah et al.","2021","1","Innovative agronomic practices for sustainable intensification in sub-Saharan Africa. A review","Journal article","https://d-nb.info/1231209275/34"
"Lambrano et al.","2020","1","Supply and Demand Analysis of Water Resources. Case Study: Irrigation Water Demand in a Semi-Arid Zone in Mexico","Journal article","https://www.mdpi.com/2077-0472/10/8/333"
"Lamptey","2022","1","Agronomic practices in soil water management for sustainable crop production under rain fed agriculture of Drylands in Sub-Sahara Africa","Journal article","https://academicjournals.org/journal/AJAR/article-full-text/444E09468528"
"Landicho et al.","2019","1","Enhancing Local Adaptive Capacities of Selected Upland Farming Communities in Southeast Asia: Lessons and Experiences","Journal article","https://www.researchgate.net/publication/333649575_Enhancing_Local_Adaptive_Capacities_of_Selected_Upland_Farming_Communities_in_Southeast_Asia_Lessons_and_Experiences"
"Laurent et al .","2022","1","How Africa Can Escape Chronic Food Insecurity Amid Climate Change","Journal article","https://www.imf.org/en/Blogs/Articles/2022/09/14/how-africa-can-escape-chronic-food-insecurity-amid-climate-change"
"Le Toan et al.","2021","1","Agriculture in Viet Nam under the impact of climate change.","Book Chapter","https://hal.inrae.fr/hal-03456472/document"
"Lee and Dang","2019","1","Spatio temporal variations in meteorology drought over the Mekong River Delta of Vietnam in the recent decades.","Journal article","https://doi.org/10.1007/s10333-018-0681-8"
"Lemma and Megersa","2021","1","Impact of Climate Change on East African Coffee Production and Its Mitigation Strategies","Journal article","https://www.researchgate.net/profile/Habtamu-Megersa/publication/350688535_Impact_of_Climate_Change_on_East_African_Coffee_Production_and_Its_Mitigation_Strategies/links/6257e2eda279ec5dd7f590a4/Impact-of-Climate-Change-on-East-African-Coffee-Production-and-Its-Mitigation-Strategies.pdf"
"Lennart and Humberto","2020","1","Land degradation","IPCC Report","https://www.ipcc.ch/srccl/chapter/chapter-4/"
"Lewis et al.","2018","1","IMPACTS OF CLIMATE CHANGE ON FARMING SYSTEMS AND LIVELIHOODS IN THE NEAR EAST AND NORTH AFRICA","Report","https://www.fao.org/publications/card/en/c/CA1439EN/"
"Liebig et al.","2017","1","Abundance of pests and diseases in Arabica coffee production systems in Uganda - ecological mechanisms and spatial analysis in the face of climate change","Journal article","https://agritrop.cirad.fr/584976/1/PhD_Thesis_TL_2017.pdf"
"Lin et al.","2022","1","Status of Food Security in East and Southeast Asia and
Challenges of Climate Change","Journal article","https://doi.org/10.3390/cli10030040"
"Ling et al.","2015","1","Reducing flood risks in rural households: survey of perception and adaptation in the Mekong delta.","Journal article","https://doi.org/10.1007/s10584-015-1416-0"
