"From","Link type","To","Description","Bibliographic resources","Tags","Type","Connection"
"Increase in drought events","Leads to","Increase in food insecurity","ENSO is a major driver of droughts in various regions of South America  affecting agricultural productivity and water supply including the southern and central peruvian andes. In particular El Niño is associated with droughts over large parts of Colombia, Venezuela, some regions of the high Andes of Ecuador, Peru and Bolivia. At the same time, La Niña is associated with droughts in other regions of Ecuador, Bolivia, Chile and Argentina."," Cai et al., 2020","Rainfall related; wind related","LAC High Altitude Mixed",
"Increase in extreme rainfall events","Leads to","Loss of income","Etreme rainfall events causes flooding, which impacts negatively on communities in the andes region causing destrcution of properties and loss of agricutlural produce leading to loss of income and associated poverty.","Fiebig-Wittmaack, 2011; USAID, 2017; Stäubli et al., 2018","Rainfall related; socioeconomic; finance","LAC High Altitude Mixed",
"Increase in tropical cyclones/hurricanes","Leads to","Increase in migration","In 2020, the Atlantic basin cyclone season registered a total of 30 storms, beating the previous record of 28 storms in 2005. Eight had direct or indirect impacts in the region: Tropical storm Amanda/Cristobal, and Hurricanes Gamma, Marco, Nana, Delta, Zeta, Eta and Iota","WMO, 2020","socioeconomic","LAC High Altitude Mixed",
"Increase in drought events","Leads to","Increase in food prices","The Parana-La Plata basin drought-induced damages to agriculture hence leading to reduced crop production,  which leads to increase in food prices.","WMO, 2022","Rainfall related","LAC High Altitude Mixed",
"Increase in drought events","Leads to","Increase in poverty","The Parana-La Plata basin drought-induced damages to agriculture reduced crop production, including maize, wheat and potatoes, affecting global crop markets. In South America overall, drought conditions led to a decline of -2.6% in the 2020-2021 cereal harvest compared with the previous season, hence leading to increase in poverty rates in the region.","WMO, 2022","Rainfall related","LAC High Altitude Mixed",
"Increase in extreme rainfall events","Leads to","Increase in food spoilage/wastage","Extreme rainfall in 2021 led to substantial losses.","WMO, 2022","Rainfall related","LAC High Altitude Mixed",
"Increasingly erratic rainfall","Leads to","Increase in food spoilage/wastage"," Changes in rainfall threaten food security, especially erratic rainfall which causes food spoilage specifuically among the potato farmers.","FAO and CELAC , 2016","Rainfall  related","LAC High Altitude Mixed",
"Shorter growing season","Leads to","Increase in food insecurity"," Shorter growing season due to climate change enables a fewer number of plantings and can contribute to lower annual yields leading to food insecurity.","IPCC, 2019","Season related","LAC High Altitude Mixed",
"Shorter growing season","Leads to","Increase in food prices","Shorter growing seasons causes food insecurity hence leading to elevated food prices.","USAID, 2022","Season related","LAC High Altitude Mixed",
"Decrease in average precipitation","Leads to","Increase in food insecurity","Decrease in average precipitation leads to water scarcity that causes reduc ed agric ultural production , hence leading to food insecurity.","Sulca et al., 2018.","Rainfall related","LAC High Altitude Mixed",
"Increasingly erratic rainfall","Leads to","Loss of income","In the LAC region the United Nations Office for Disaster Risk Reduction registered a total of 175 disasters during the 2020-2022 period. Of these, 88% have meteorological, climatological and hydrological origins. These hazards accounted for 40% of recorded disaster-related deaths and 71% of the economic losses.","WMO, 2022","Rainfall related","LAC High Altitude Mixed",
"Shorter growing season","Leads to","Loss of income","Climate change will result in a net aggregate loss for agricultural sector which is a major source of income for the majority of the people in the region.","J Samaniego et al., 2014","Season related","LAC High Altitude Mixed",
"Decrease in average precipitation","Leads to","Competition for resources","Changes in precipitation patterns and the disappearance of glaciers are projected to significantly affect the availability of water for human consumption, hence leading to competition for the available few water resources."," R. Pachauri et al., 2013","Temperature related","LAC High Altitude Mixed",
"Increase in frost events","Leads to","Increase in food insecurity","Increase in frost events is associated with destruction of crops leading to reduced productivity hence food insecurity.","Sulca et al., 2018.","Temperature related","LAC High Altitude Mixed",
"Increase in dry days","Leads to","Increase in food insecurity","2020 was a dry year, with an estimated national anomaly of −16.7% in relation to the 1981–2010 average, placing 2020 as one of the driest years on record since 1961 and as the driest since 1995. For the north-eastern region of Argentina, 2020 was the fifth driest year since 1961  leading to increased food insecurity.","WMO, 2021","Rainfall related","LAC High Altitude Mixed",
"Increase in heavy snowfall events","Leads to","Increase in food insecurity","Glaciers in the tropical Andes have been retreating for the past several decades, leading to a temporary increase in dry season water supply, hence contributing to increase in food insecurity due to poor agricultural production.","Vuille, Mathias et al., 2018","Maritime related","LAC High Altitude Mixed",
"Increase in tropical cyclones/hurricanes","Leads to","Increase in food insecurity","A total of 7.7 million people, in Guatemala, El Salvador and Nicaragua, experienced high levels of food insecurity in 2021, with contributing factors including continuing impacts from hurricanes Eta and Iota in late 2020 and COVID-19 pandemic economic impacts.","WMO, 2022","Maritime related","LAC High Altitude Mixed",
