"Label","Type-1","Type-2","Description","Tags","Bibliographic resource","Developer and name of external database","Link to external database","Type"
"Implement wetland restoration","Adaptation option","Natural capital","The NDCs of Central American and the Caribbean countries incorporate ocean-related adaptation proposals, such as mangrove and wetland restoration, to reduce theimpacts of sea-level rise and extreme sea level.","Ecosystem-based adaptation; Policy level","World Meteorological Organization, 2021"," "," ","LAC Coastal Plantation Mixed"
"Implement reforestation practices","Adaptation option","Natural capital"," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Invest in water harvesting and storage infrastructure","Adaptation option","Physical capital","There are  efforts to protect freshwater water resources through harvesting and storage infrastructure.  In addition there is use of advanced technology to increase water supply in response to climate induced drought; energy-intensive technologies for water purification (such as reverse osmosis)","Infrastructure; Farm level; Community level","UNDP, n.d"," "," ","LAC Coastal Plantation Mixed"
"Structural adjustments","Adaptation option","Physical capital","As part of coastal zone management,  there is investments in infrastructure development (i.e., artificial breakwaters, erosion control) and coastal zone planning","Infrastructure","UNDP, n.d"," "," ","LAC Coastal Plantation Mixed"
"Invest in irrigation infrastructure","Adaptation option","Physical capital","About 13% of arable land in this agri system is under irrigation. There is Improvements in irrigation efficiency","Technology; Climate-smart agriculture; Farm level; Partnership required","Brian Feld & Sebastian Galiani, 2015"," ","","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Implement soil and water conservation practices","Adaptation option","Human capital","Conservation agriculture (CA) including soil and water conservation practices sucha as minimum/NO tillage has been widely successful in the Southern Cone region of South America.  Other regions of Latin America, however, such as Central America and the Andean region, CA adoption has proven more difficult. The development of effective CA innovation systems in countries such as Brazil and Mexico has been instrumental in overcoming factors limiting CA adoption","Conservation Agriculture; Farm level; Policy level ","Sperrati A, et al., 2015"," "," ","LAC Coastal Plantation Mixed"
"Adopt drought tolerant varieties






","Adaptation option","Human capital","Adoption of pest-, drought-, and heat-resistant crops","Technology; Climate-smart agriculture; Farm level.","Brian Feld & Sebastian Galiani, 2015"," ","","LAC Coastal Plantation Mixed"
"Invest in agricultural research and development","Adaptation option","Human capital","Research &Development  on resistant crops and breeds","Research and development; Partnership required","Brian Feld & Sebastian Galiani, 2015"," ","","LAC Coastal Plantation Mixed"
"Plant multiple crop types","Adaptation option","Human capital","Agricultural diversification","Climate-smart agriculture; Farm level; Community level; Partnership required ","UNDP, n.d"," "," ","LAC Coastal Plantation Mixed"
"Implement efficient water management","Adaptation option","Human capital","Water harvesting and storage","Infrastructure; Farm level; Community level","Brian Feld & Sebastian Galiani, 2015"," ","","LAC Coastal Plantation Mixed"
"Implement climate smart agriculture practices





","Adaptation option","Human capital","In the case of rain-fed agriculture (soybean, maize, wheat), CSA practices such as direct seeding and land use and management plans have higher levels of adoption. For intensive vegetable production (citrus, deciduous plants, horticulture) the most common CSA practices fall under the umbrella of integrated crop management and include techniques for soil, pests and disease management that contribute to more stable and/or increased production and
to reduced use of agrochemicals. For instance, techniques of sexual confusion in fruit trees for managing Grapholita molesta in peaches and Carpocapsa pomonella in apples and quince allow for a reduction in insecticide use from 12 applications to 2 (on average per season)","Climate-smart agriculture; Farm level; Community level; Partnership required ","World Bank; CIAT. 2015"," "," ","LAC Coastal Plantation Mixed"
"Implement conservation agriculture practices","Adaptation option","Human capital","Conservation agriculture (CA) including soiland water conservation practices sucha as minimum tillage has been widely successful in the Southern Cone region of South America.  Other regions of Latin America, however, such as Central America and the Andean region, CA adoption has proven more difficult. The development of effective CA innovation systems in countries such as Brazil and Mexico has been instrumental in overcoming factors limiting CA adoption","Conservation Agriculture; Farm level; Policy level ","Sperrati A, et al., 2015"," "," ","LAC Coastal Plantation Mixed"
"Apply integrated pest and diseases management","Adaptation option","Human capital","Wider application of integrated pest management","Climate-smart agriculture; Farm level","UNDP, n.d"," "," ","LAC Coastal Plantation Mixed"
"Adopt drought tolerant varieties






","Adaptation option","Human capital","New drought tolerant crops and breeds are being developed. For example, the generation and validation of drought tolerant maize varieties to stabilize and reduce mycotoxin damage resulting from climate change","Research and development; Partnership required","CIMMYT,2013"," "," ","LAC Coastal Plantation Mixed"
"Improve climate change awareness
","Adaptation option","Human capital","Organizations such as the World Food Programme are building the capacities of communities and governments in Latin America and the Caribbean to adapt to the growing challenges of climate change.","Capacity building; Network dependent","WFP, 2021"," "," ","LAC Coastal Plantation Mixed"
"Diversify livelihoods","Adaptation option","Human capital"," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Capacity building on sustainable agricultural practices","Adaptation option","Human capital"," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Plant multiple varieties","Adaptation option","Human capital"," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Improve networking and knowledge exchange","Adaptation option","Social capital","Big Data and the Internet of Things (IoT) have the potential to be the drivers for climate change solutions.","Capacity building; Network dependent","Jorisch D et al.; 2018"," "," ","LAC Coastal Plantation Mixed"
"Build capacity on advocacy","Adaptation option","Social capital"," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Build climate information services","Adaptation option","Political capital ","Provision of institutional support to diffuse information on climate change and adaptation possibilities","Capacity building; Institutions and Policy; Network dependent","Brian Feld & Sebastian Galiani, 2015"," ","","LAC Coastal Plantation Mixed"
"Develop policies for building climate change resilience","Adaptation option","Political capital "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Develop/improve early warning systems","Adaptation option","Political capital ","Establishment of early warning systems in coastal zones and agricultural systems","Climate-smart agriculture; Community level; Policy level","Brian Feld & Sebastian Galiani, 2015"," ","","LAC Coastal Plantation Mixed"
"Land tenure reform","Adaptation option","Political capital "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
"Improve access to markets","Adaptation option","Financial capital","Enhancement of agricultural trade","Institutions and policy; Policy level","Brian Feld & Sebastian Galiani, 2015"," ","","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
" "," "," "," "," "," "," "," ","LAC Coastal Plantation Mixed"
