"FS name",FS macro region,"From","Link type","To","Description"
"Dryland mixed",LAC,"Increase in extreme heat (no. of hot days)","Leads to","Increase in heat stress"," As heatwaves become more frequent, 2.5 million Latin American and Caribbean jobs could be lost to heat stress alone by 2030. The more direct impacts include illness and death from heat stress."
"Dryland mixed",LAC,"Increase in extreme rainfall events","Leads to","Reduced crop productivity/failure","Latin America and the Caribbean 2021 mega  extreme rainfall led to severe damage to crop production and infrastructure."
"Dryland mixed",LAC,"Increase in average precipitation","Leads to","Waterlogging","In Latin America, floods are equally intense and destructive, with an average of 27 critical events per year, affecting also the poorest states leading to waterlogged lands. "
"Dryland mixed",LAC,"Increase in average precipitation","Leads to","Unpredictable planting period","Increase in average precipitation leads to floods worldwide, which are becoming more frequent, with shorter durations but also higher intensity leading to unpredictable planting period."
"Dryland mixed",LAC,"Decrease in average precipitation","Leads to","Water scarcity","Decrease in average precipitation leads to water scarcity. It becomes apparent after an observable lack of rainfall for weeks or months, whose damage affects mostly arid and semi-arid areas, and Latin America, despite being a water-abundant region."
"Dryland mixed",LAC,"Decrease in average precipitation","Leads to","Increase in soil water deficit","One of the causes of soil water deficit is decrease in average precipitation."
"Dryland mixed",LAC,"Rising sea levels","Leads to","Damage to infrastructure","Increasing sea-level rise and ocean warming are expected to continue to affect coastal livelihoods, leading to damage of infrastructure along the coastal region."
"Dryland mixed",LAC,"Rising sea levels","Leads to","Delays in transportation","Rise in sea levels leads to delayed transportation of goods , especially alonmg the coastal region, this is because its expected to continue to affect coastal livelihoods, tourism, health, food, energy, and water security, particularly in small islands and Central American countries."
"Dryland mixed",LAC,"Increase in average temperatures","Leads to","Crop stress/damage/mortality","Average temperature increase was about 0.2°C a decade between 1991 and 2021, compared to 0.1°C a decade between 1961 and 1990, hence leading to crop stress."
"Dryland mixed",LAC,"Increase in dry days","Leads to","Desertification","Risks from desertification are projected to increase due to climate change ,5% high in Latin America and the Caribbean caused by increased number of dry days and droughts."
"Dryland mixed",LAC,"Increase in tropical cyclones/hurricanes","Leads to","Landslide events","The 2021 Atlantic hurricane season saw the third highest number of named storms ever: 21, seven of them hurricanes, causing landslide events."
"Dryland mixed",LAC,"Increase in tropical cyclones/hurricanes","Leads to","Damage to infrastructure","Hurricanes leads to damage infrastructure. For instancve, the 2021 Atlantic hurricane season saw the third highest number of named storms ever."
"Dryland mixed",LAC,"Increase in average temperatures","Leads to","Increase in diseases","increase in average temperatures leads to increase in livestock and crop diseases."
"Dryland mixed",LAC,"Increase in dry days","Leads to","Increase in soil water deficit","Increase in the number of dry days leads to increase in soil water deficit. "
"Dryland mixed",LAC,"Increase in drought events","Leads to","Increase in food insecurity","Increase in drought causing lower maize and cassava production, leading to increased food insecurity"
"Dryland mixed",LAC,"Increase in extreme rainfall events","Leads to","Loss of income","High rainfall causes poor  yields and poor livestock production which is one of the sources of income."
"Dryland mixed",LAC,"Increase in extreme rainfall events","Leads to","Increase in post-harvest losses","Extreme rainfall events leads to increase post-harvest losses ,especially in maize."
"Dryland mixed",LAC,"Increase in drought events","Leads to","Increase in migration","Drought causes both human and livestock migration in search of food and pastures."
"Dryland mixed",LAC,"Increase in drought events","Leads to","Increase in women's workload","Increase in drought events leads to increase in women workload .Women’s roles in agriculture have been expanding considerably, for example in agricultural labour where their average participation rate in the region jumped from 32.4%t in 1990 to 48.7 % in 2010."
"Dryland mixed",LAC,"Increase in drought events","Leads to","Increase in poverty","Drought also leads to poverty due to poor yields."
"Dryland mixed",LAC,"Increase in extreme heat (no. of hot days)","Leads to","Increase in food imports","Extreme heat leads tolow productivity. Poor yields will lead to increase importation of food."
"Dryland mixed",LAC,"Decrease in average precipitation","Leads to","Increase in food insecurity","Decrease in average precipitation leads to droughts, which  have also caused significant losses in crops and livestock in the region, leading to food insecurity."
